"id","eng_query","sql_query","parent_id"
-1,"top 'duckling_amount0' total units on back order by product code","select top 'duckling_amount0' [Inventory Location Information].ProdCode, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].ProdCode order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom 'duckling_amount0' total units on back order by product code","select top 'duckling_amount0' [Inventory Location Information].ProdCode, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].ProdCode order by sum([Inventory Location Information].UBO) asc",1270
-1,"top total units on back order by product code","select top 5 [Inventory Location Information].ProdCode, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].ProdCode order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom total units on back order by product code","select top 5 [Inventory Location Information].ProdCode, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].ProdCode order by sum([Inventory Location Information].UBO) asc",1270
-1,"total units on back order by bin","select [Inventory Location Information].BIN, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].BIN",1270
-1,"top 'duckling_amount0' total units on back order by bin","select top 'duckling_amount0' [Inventory Location Information].BIN, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].BIN order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom 'duckling_amount0' total units on back order by bin","select top 'duckling_amount0' [Inventory Location Information].BIN, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].BIN order by sum([Inventory Location Information].UBO) asc",1270
-1,"top total units on back order by bin","select top 5 [Inventory Location Information].BIN, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].BIN order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom total units on back order by bin","select top 5 [Inventory Location Information].BIN, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].BIN order by sum([Inventory Location Information].UBO) asc",1270
-1,"total units on back order by shelf","select [Inventory Location Information].SHELF, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].SHELF",1270
-1,"top 'duckling_amount0' total units on back order by shelf","select top 'duckling_amount0' [Inventory Location Information].SHELF, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].SHELF order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom 'duckling_amount0' total units on back order by shelf","select top 'duckling_amount0' [Inventory Location Information].SHELF, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].SHELF order by sum([Inventory Location Information].UBO) asc",1270
-1,"top total units on back order by shelf","select top 5 [Inventory Location Information].SHELF, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].SHELF order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom total units on back order by shelf","select top 5 [Inventory Location Information].SHELF, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].SHELF order by sum([Inventory Location Information].UBO) asc",1270
-1,"total units on back order by uom","select [Inventory Location Information].UOM, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].UOM",1270
-1,"top 'duckling_amount0' total units on back order by uom","select top 'duckling_amount0' [Inventory Location Information].UOM, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].UOM order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom 'duckling_amount0' total units on back order by uom","select top 'duckling_amount0' [Inventory Location Information].UOM, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].UOM order by sum([Inventory Location Information].UBO) asc",1270
-1,"top total units on back order by uom","select top 5 [Inventory Location Information].UOM, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].UOM order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom total units on back order by uom","select top 5 [Inventory Location Information].UOM, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].UOM order by sum([Inventory Location Information].UBO) asc",1270
